CONSEJO NACIONAL ELECTORAL,,,,,,,,,,,,,,,,,,,,,,,,,,
COORDINACIÓN NACIONAL TÉCNICA DE PROCESOS ELECTORALES,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN NACIONAL DE REGISTRO ELECTORAL,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECCIONES SECCIONALES Y CONSEJO DE PARTICIPACIÓN CIUDADANA Y CONTROL SOCIAL 2027,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRIBUTIVO DE RECINTOS ELECTORALES,,,,,,,,,,,,,,,,,,,,,,,,,,
Corte: al 11 de agosto de 2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGO PROVINCIA,NOMBRE PROVINCIA,CODIGO CANTON,NOMBRE CANTON,CODIGO PARROQUIA,NOMBRE PARROQUIA,CODIGO ZONA,NOMBRE ZONA,CODIGO RECINTO,NOMBRE RECINTO,CDA,DIRECCION RECINTO,TELEFONO,JUN FEM,JUN MAS,NUM JUNR,JUN INIF,JUN FINF,JUN INIM,JUN FINM,NUMERO ELECTORES,X,Y,long,lat,DIFICIL ACCESO,SIN CONECTIVIDAD
1,AZUAY,915,CHORDELEG,6435,CHORDELEG,0,,446,UNIDAD EDUCATIVA CHORDELEG/ COLEGIO NACIONAL CHORDELEG,SI,JUAN BAUTISTA COBOS Y GABRIEL ESPINOZA,72223280,6,6,12,1,6,1,6,4200,746987.4346,9676422.913,-78.77806758,-2.92526586,NO,NO
1,AZUAY,915,CHORDELEG,6435,CHORDELEG,0,,5873,ESCUELA DE EDUCACION BASICA SOR MARIA DE SANTO TOMAS ALVARADO,NO,CALLE ELOY ALFARO Y GUAYAQUIL,72223231,5,3,8,7,11,7,9,2400,747401.1266,9676754.773,-78.77435375,-2.92225837,NO,NO
1,AZUAY,915,CHORDELEG,1535,LA UNION,0,,2483,ESCUELA DE EDUCACIÓN BÁSICA AURELIO BAYAS MARTINEZ,NO,GULAG-LA UNION,73050564,2,1,3,1,2,1,1,907,748734,9676484,-78.76236437,-2.92468225,NO,NO
1,AZUAY,915,CHORDELEG,1585,LUIS GALARZA O. (DELEGSOL),0,,3475,ESCUELA DE EDUCACIÓN BÁSICA JOAQUIN MARTINEZ,NO,VIA DELEGSOL,73062795,2,1,3,1,2,1,1,794,748642,9668407,-78.76304504,-2.99770105,NO,NO
1,AZUAY,915,CHORDELEG,2950,PRINCIPAL,0,,2943,UNIDAD EDUCATIVA FASAYÑAN,NO,ELIAS PELAEZ Y OSCAR GONZALEZ,72294088,2,1,3,1,2,1,1,946,750036.5007,9665110.888,-78.75044444,-3.02747222,NO,NO
1,AZUAY,915,CHORDELEG,1575,SAN MARTIN DE PUZHIO,0,,3380,ESCUELA DE EDUCACIÓN GENERAL BÁSICA RAFAEL ROMERO Y CORDERO,NO,SAN MARTIN DE PUZHIO Y 24 DE NOVIEMBRE,73062776,1,1,2,1,1,1,1,582,748946,9669752,-78.76033613,-2.98553649,NO,NO
1,AZUAY,260,CUENCA,285,BAÑOS,1,BAÑOS,1005,UNIDAD EDUCATIVA MANUEL CORDOVA GALARZA,SI,CALLE LAS PEÑAS Y CALLE SIN NOMBRE,72892476,10,10,20,1,10,1,10,7000,715522.131,9676806.175,-79.06102264,-2.92232791,NO,NO
1,AZUAY,260,CUENCA,285,BAÑOS,1,BAÑOS,978,ESCUELA DE EDUCACIÓN BÁSICA ENRIQUETA CORDERO DAVILA,SI,24 DE DICIEMBRE Y LA MERCED,72892518,7,7,14,11,17,11,17,4900,715196.3123,9677235.461,-79.06395944,-2.91845143,NO,NO
1,AZUAY,260,CUENCA,285,BAÑOS,1,BAÑOS,987,UNIDAD EDUCATIVA ALFONSO CARRION HEREDIA,SI,PASEO DE LA GUADALUPANA S/N Y DE LOS HERVIDEROS,72892351,6,6,12,18,23,18,23,4200,715295.8194,9676634.115,-79.06305524,-2.92388718,NO,NO
1,AZUAY,260,CUENCA,285,BAÑOS,1,BAÑOS,6306,UNIDAD EDUCATIVA BORJA-ESCUELA,SI,RICARDO DURAN Y RIO ORINOCO,2893481,12,8,20,24,35,24,31,6600,716812,9676953,-79.04942494,-2.92098015,NO,NO
1,AZUAY,260,CUENCA,285,BAÑOS,2,COCHAPAMBA,6900,ESCUELA DE EDUCACION BASICA MEDARDO NEIRA GARZON,NO,SUBIDA A NARANCAY ALTO,72892948,1,1,2,1,1,1,1,258,716800.552,9675725.034,-79.0495087,-2.93208336,NO,NO
1,AZUAY,260,CUENCA,5075,BELLAVISTA,0,,418,ESCUELA DE EDUCACION BASICA FISCOMISIONAL PADRE CARLOS CRESPI,SI,TARQUI S/N Y RAFAEL MARIA ARIZAGA,2842692,5,5,10,1,5,1,5,3500,721608,9680300,-79.00634766,-2.89064194,NO,NO
1,AZUAY,260,CUENCA,5075,BELLAVISTA,0,,469,ESCUELA DE EDUCACION GENERAL BASICA FEDERICO PROAÑO,NO,JUAN MONTALVO S/N Y ALBERTO MUÑOZ VERNAZA,72820055,5,5,10,6,10,6,10,3500,721522.1846,9680494.679,-79.00712244,-2.8888831,NO,NO
1,AZUAY,260,CUENCA,5075,BELLAVISTA,0,,465,UNIDAD EDUCATIVA 3 DE NOVIEMBRE,NO,VEGA MUÑOZ S/N Y JUAN MONTALVO,72823935,4,4,8,11,14,11,14,2800,721409.0482,9680220.025,-79.0081355,-2.89136819,NO,NO
1,AZUAY,260,CUENCA,5075,BELLAVISTA,0,,6003,"UNIVERSIDAD CATOLICA DE CUENCA FACULTAD DE INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN",SI,GENERAL TORRES Y AMERICAS,74134750,6,6,12,15,20,15,20,4200,721551,9680992,-79.00687115,-2.88438607,NO,NO
1,AZUAY,260,CUENCA,5075,BELLAVISTA,0,,5848,UNIDAD EDUCATIVA ALBERTO ANDRADE ARIZAGA BRUMEL,NO,GENERAL TORRES Y TENIENTE HUGO ORTIZ,72821001,7,4,11,21,27,21,24,3431,721718,9680885,-79.0053677,-2.88535088,NO,NO
1,AZUAY,260,CUENCA,5080,CAÑARIBAMBA,0,,339,UNIDAD EDUCATIVA CESAR DAVILA ANDRADE / COLEGIO CESAR DAVILA ANDRADE,SI,JORGE CARRERA ANDRADE S/N Y JOSE DE LA CUADRA,72410776,5,5,10,1,5,1,5,3500,723592.6212,9678596.959,-78.98847358,-2.90600829,NO,NO
1,AZUAY,260,CUENCA,5080,CAÑARIBAMBA,0,,410,UNIDAD EDUCATIVA ZOILA AURORA PALACIOS / ESCUELA ZOILA AURORA PALACIOS,NO,PACHACAMAC 4-60 Y HERNANDO LEOPULLA,74109193,4,4,8,6,9,6,9,2800,723139,9678313,-78.99254831,-2.908583,NO,NO
1,AZUAY,260,CUENCA,5080,CAÑARIBAMBA,0,,5876,ESCUELA DE EDUCACION BASICA JULIO ABAD CHICA,NO,JIJON Y CAAMAÑO 2-26 Y REPUBLICA,72860581,6,4,10,10,15,10,13,3348,723480.963,9679183.93,-78.98948707,-2.900703,NO,NO
1,AZUAY,260,CUENCA,845,CHAUCHA / ANGAS,4,CASCAJO,2206,ESCUELA LEONCIO GALLEGOS SOLANO,NO,CARRETERA DE ACCESO A LA COMUNIDAD DE CASCAJO,74042704,1,1,2,1,1,1,1,74,678991,9670070,-79.38949644,-2.98376821,NO,NO
1,AZUAY,260,CUENCA,845,CHAUCHA / ANGAS,3,CEDRO,2328,ESCUELA FISCAL CORNELIO HIDALGO CASTRO,NO,VIA AL CENTRO DE CEDRO,74045716,1,1,2,1,1,1,1,80,672873,9679399,-79.44464728,-2.89947895,NO,NO
1,AZUAY,260,CUENCA,845,CHAUCHA / ANGAS,1,CHAUCHA /ANGAS,2196,UNIDAD EDUCATIVA SAN GABRIEL DE CHAUCHA,SI,RAFAEL MARIA ARIZAGA,74045993,2,2,4,1,2,1,2,941,674130,9677890,-79.43332196,-2.91311018,NO,NO
1,AZUAY,260,CUENCA,845,CHAUCHA / ANGAS,2,SAN ANTONIO,2327,ESCUELA DE EDUCACION BASICA ECUADOR AMAZONICO,NO,CALLE SAN JUAN ROLDAN CENTRO DE CHAUCHA,74215361,1,1,2,1,1,1,1,176,676335,9678282,-79.41349323,-2.9095372,NO,NO
1,AZUAY,260,CUENCA,860,CHECA JIDCAY,0,,623,UNIDAD EDUCATIVA CHECA/COLEGIO CHECA,NO,CARLOS IÑAMAGUA Y CALLE SIN NOMBRE,72897362,5,4,9,1,5,1,4,2597,722968.3591,9688949.399,-78.99425,-2.81241667,NO,NO
1,AZUAY,260,CUENCA,905,CHIQUINTAD,0,,1332,UNIDAD EDUCATIVA CHIQUINTAD / COLEGIO NACIONAL TECNICO CHIQUINTAD,SI,VIA CHECA - CHIQUINTAD S/N Y JUSTO ANDRADE,74179125,7,6,13,1,7,1,6,4083,722382.9716,9689170.74,-78.9995172,-2.81042449,NO,NO
1,AZUAY,260,CUENCA,730,CUMBE,0,,928,UNIDAD EDUCATIVA CUMBE / COLEGIO NACIONAL TECNICO DE CUMBE,SI,JORGE SEAS Y LUIS FERMIN,72320076,5,5,10,1,5,1,5,3500,720960,9658497,-79.01181996,-3.08778588,NO,NO
1,AZUAY,260,CUENCA,730,CUMBE,0,,1015,ESCUELA DE EDUCACION BASICA GENERAL GABRIEL ARSENIO ULLAURI,NO,AV. 24 DE MAYO Y ELOY MEJIA,72320071,4,2,6,6,9,6,7,1579,720950.2942,9658760.373,-79.01191168,-3.08540474,NO,NO
1,AZUAY,260,CUENCA,5135,EL BATAN,0,,1016,COLISEO MAYOR JEFFERSON PEREZ,NO,12 DE ABRIL Y UNIDAD NACIONAL,72811763,5,5,10,1,5,1,5,3500,720040,9679893,-79.02044179,-2.89434669,NO,NO
1,AZUAY,260,CUENCA,5135,EL BATAN,0,,1038,ESCUELA DE EDUCACION BASICA 12 DE ABRIL,SI,SAN CRISTÓBAL Y FERNANDINA,74203093,5,5,10,6,10,6,10,3500,719900.4393,9679836.297,-79.02169593,-2.89486158,NO,NO
1,AZUAY,260,CUENCA,5135,EL BATAN,0,,896,UNIDAD EDUCATIVA MIGUEL MORENO ORDOÑEZ,SI,ADOLFO PERALTA Y DANIEL FERNANDEZ DE CORDOVA,72854585,6,6,12,11,16,11,16,4200,718499,9679140,-79.03428792,-2.90117934,NO,NO
1,AZUAY,260,CUENCA,5135,EL BATAN,0,,6297,ESCUELA DE EDUCACION BASICA VICTOR MANUEL ALBORNOZ,NO,ISAURO RODRIGUEZ Y CARLOS BERREZUETA,72853907,6,5,11,17,22,17,21,3610,718322,9679591,-79.03588669,-2.8971043,NO,NO
1,AZUAY,260,CUENCA,5330,EL VECINO,1,EL VECINO,467,UNIDAD EDUCATIVA DEL MILENIO MANUEL J CALLE/ COLEGIO MANUEL J CALLE,SI,FRANCISCO CALDERON 4-54 MARIANO CUEVA,74205068,7,7,14,1,7,1,7,4900,722552.0987,9680504.495,-78.99786098,-2.88877797,NO,NO
1,AZUAY,260,CUENCA,5330,EL VECINO,1,EL VECINO,6006,UNIDAD EDUCATIVA MANUEL J CALLE - COLISEO,NO,FRANCISCO CALDERON Y MARIANO CUEVA,74205068,5,5,10,8,12,8,12,3500,722549.75,9680526,-78.99788245,-2.88858357,NO,NO
1,AZUAY,260,CUENCA,5330,EL VECINO,1,EL VECINO,797,UNIDAD EDUCATIVA ZOILA ESPERANZA PALACIOS/ESCUELA ESPAÑA,SI,LA MERCED Y MUÑOZ VERNAZA,74205736,6,6,12,13,18,13,18,4200,722658.9509,9680222.282,-78.99689563,-2.89132791,NO,NO
1,AZUAY,260,CUENCA,5330,EL VECINO,1,EL VECINO,790,UNIVERSIDAD POLITECNICA SALESIANA-EDIFICIO MARIO RIZZINI,SI,CALLE VIEJA 12-30 Y ELIA LIUT,74135250,5,5,10,19,23,19,23,3500,723436,9680718,-78.98991585,-2.88683347,NO,NO
1,AZUAY,260,CUENCA,5330,EL VECINO,1,EL VECINO,5965,UNIVERSIDAD POLITECNICA DE CUENCA- COLISEO,NO,CALLE VIEJA Y ELIA LIUT,74135250,5,5,10,24,28,24,28,3500,723438,9680720,-78.9898979,-2.88681535,NO,NO
1,AZUAY,260,CUENCA,5330,EL VECINO,1,EL VECINO,6007,UNIVERSIDAD POLITECNICA- EDIFICIO GUILLERMO MENSI,NO,CALLE VIEJA Y ELIA LIUT,74135250,7,7,14,29,35,29,35,4900,723358,9680722,-78.99061733,-2.88679855,NO,NO
1,AZUAY,260,CUENCA,5330,EL VECINO,1,EL VECINO,820,UNIDAD EDUCATIVA JUAN MONTALVO,SI,ANTONIO RICAURTE Y JUAN LA VALLE,72806325,5,5,10,36,40,36,40,3500,724533.7821,9681465.659,-78.98005598,-2.88005597,NO,NO
1,AZUAY,260,CUENCA,5330,EL VECINO,1,EL VECINO,834,UNIDAD EDUCATIVA FRANCISCA DAVILA DE MUÑOZ,SI,LUIS CORDERO 14-44 Y PIO BRAVO,72834518,6,6,12,41,46,41,46,4200,722023.2771,9680158.251,-79.00261098,-2.89191697,NO,NO
1,AZUAY,260,CUENCA,5330,EL VECINO,1,EL VECINO,5963,ESCUELA DE EDUCACION BASICA REPUBLICA DE CHILE,SI,CABOGAN Y SILVAN,74088844,5,5,10,47,51,47,51,3281,723755,9681036,-78.9870523,-2.88395318,NO,NO
1,AZUAY,260,CUENCA,5330,EL VECINO,1,EL VECINO,5980,ESCUELA DE EDUCACION BASICA MARY CORYLE,NO,AV. GIL RAMIREZ DAVALOS Y ALCABALAS,72809463,5,0,5,52,56,0,0,1532,723230,9680310,-78.99176182,-2.89052568,NO,NO
1,AZUAY,260,CUENCA,5330,EL VECINO,3,LA CATÓLICA,5940,UNIDAD EDUCATIVA LUIS ROBERTO BRAVO,NO,BARRIAL BLANCO Y OBISPO ALBERTO ORDOÑEZ CRESPO,72341209,1,1,2,1,1,1,1,600,723627,9681453,-78.98820996,-2.88018493,NO,NO
1,AZUAY,260,CUENCA,5330,EL VECINO,2,MIRAFLORES,4587,UNIDAD EDUCATIVA LUIS MONSALVE POZO,NO,VIRGEN DEL ROSARIO Y PASEO DEL NIÑO,72390051,2,1,3,1,2,1,1,865,722380.9339,9682312.397,-78.99942874,-2.8724345,NO,NO
1,AZUAY,260,CUENCA,6865,HERMANO MIGUEL,3,EL PROGRESO,5951,UNIDAD EDUCATIVA CARLOS RIGOBERTO VINTIMILLA,NO,VIA MAYANCELA - LA COMPAÑIA,4132254,1,1,2,1,1,1,1,494,723296.2899,9684322.318,-78.99122913,-2.8542473,NO,NO
1,AZUAY,260,CUENCA,6865,HERMANO MIGUEL,1,HERMANO MIGUEL,1524,UNIDAD EDUCATIVA ISABEL MOSCOSO DAVILA/ESCUELA ISABEL MOSCOSO,SI,SAN SILVESTRE Y PLOVDIV,72899044,9,9,18,1,9,1,9,6300,723613.0808,9683086.382,-78.98836098,-2.86541698,NO,NO
1,AZUAY,260,CUENCA,6865,HERMANO MIGUEL,1,HERMANO MIGUEL,5881,ESCUELA DE EDUCACION BASICA HECTOR SEMPERTEGUI GARCIA,NO,JAVIER MALDONADO Y UNIVERSIDAD DEL AZUAY,72901265,5,4,9,10,14,10,13,2711,724356.3285,9683482.007,-78.98168372,-2.86182814,NO,NO
1,AZUAY,260,CUENCA,6865,HERMANO MIGUEL,2,UNCOVIA,2967,UNIDAD EDUCATIVA PARTICULAR PIO 12,NO,CIMARRONES Y PURUVIN,72900020,2,2,4,1,2,1,2,1024,724683.9665,9682497.968,-78.9787219,-2.87072003,NO,NO
1,AZUAY,260,CUENCA,5450,HUAYNACAPAC,0,,397,UNIDAD EDUCATIVA PARTICULAR HERMANO MIGUEL DE LA SALLE,SI,AV SOLANO 7-01 Y LUIS MORENO MORA,72810349,7,7,14,1,7,1,7,4900,721425.3112,9678154.712,-79.00795656,-2.91004162,NO,NO
1,AZUAY,260,CUENCA,5450,HUAYNACAPAC,0,,475,ESCUELA DE EDUCACION GENERAL BASICA GABRIELA MISTRAL,NO,HUMBERTO CORDERO 1-79 Y AV. 10 DE AGOSTO,72811632,5,5,10,8,12,8,12,3500,721988.3507,9677794.612,-79.00288753,-2.91328848,NO,NO
1,AZUAY,260,CUENCA,5450,HUAYNACAPAC,0,,653,UNIDAD EDUCATIVA FE Y ALEGRIA,SI,CAJABAMBA Y CHUGCHILAN,74150243,6,6,12,13,18,13,18,4200,723005.0024,9677388.632,-78.99373851,-2.91694282,NO,NO
1,AZUAY,260,CUENCA,5450,HUAYNACAPAC,0,,6030,UNIVERSIDAD DEL AZUAY,SI,AV. 24 DE MAYO Y LAS GARZAS,74091000,8,4,12,19,26,19,22,4240,722358,9677241,-78.99955451,-2.91828805,NO,NO
1,AZUAY,260,CUENCA,2255,LLACAO,0,,1267,ESCUELA DE EDUCACION BASICA GONZALO S. CORDOVA,SI,MIGUEL ANGEL ESTRELLA Y VIA LLACAO-SOLANO,74098858,6,6,12,1,6,1,6,3935,728687.9649,9686287.999,-78.94277798,-2.83638897,NO,NO
1,AZUAY,260,CUENCA,5140,MACHANGARA,2,CAPULISPAMBA,1437,UNIDAD EDUCATIVA ENRIQUE MALO ANDRADE,NO,ITALIA Y UNIÓN SOVIETICA,72875372,1,1,2,1,1,1,1,669,729783.3772,9683549.923,-78.93288406,-2.86112673,NO,NO
1,AZUAY,260,CUENCA,5140,MACHANGARA,3,CHALLUABAMBA MACHANGARA,8289,BAMBOO LACROSS SCHOOL,NO,CULTURA PIRINCAY Y AUTOPISTA,74075393,2,2,4,1,2,1,2,1060,731729,9684138,-78.91539872,-2.85577806,NO,NO
1,AZUAY,260,CUENCA,5140,MACHANGARA,1,MACHÁNGARA,1478,UNIDAD EDUCATIVA CAZADORES DE LOS RIOS,SI,PANAMERICANA NORTE KM 4.5 Y VICTORIA DEL PORTETE- F PAZAN,72890002,7,7,14,1,7,1,7,4900,726686.6212,9681177.25,-78.96069225,-2.88262891,NO,NO
1,AZUAY,260,CUENCA,5140,MACHANGARA,1,MACHÁNGARA,5869,UNIDAD EDUCATIVA PARTICULAR KENNEDY,NO,HIMNO NACIONAL Y GONZALEZ SUAREZ,74593891,6,5,11,8,13,8,12,3482,726554,9680943,-78.96188105,-2.88474899,NO,NO
1,AZUAY,260,CUENCA,5140,MACHANGARA,4,OCHOA LEON,5022,CASA COMUNAL OCHOA LEON,NO,VIA RUCAURTE_ CHECA,74101441,1,1,2,1,1,1,1,470,723926.4372,9686475.963,-78.98559649,-2.83476523,NO,NO
1,AZUAY,260,CUENCA,5140,MACHANGARA,5,QUINTA CHICA,1035,UNIDAD EDUCATIVA MARIO RIZINI,NO,ANGAS Y PATOCOCHA,74207119,2,1,3,1,2,1,1,779,726415,9680548,-78.96312463,-2.88832257,NO,NO
1,AZUAY,260,CUENCA,2430,MOLLETURO,8,ABDON CALDERÓN,31,UNIDAD EDUCATIVA ABDON CALDERON/ESCUELA FISCAL MIXTA PRIMERO DE ENERO,NO,JOSE LASCANO,74045948,1,1,2,1,1,1,1,447,653773,9679712,-79.6164592,-2.8968722,NO,NO
1,AZUAY,260,CUENCA,2430,MOLLETURO,6,AGUAS CALIENTES,2528,ESCUELA DE EDUCACION BASICA SANTA ANA DE LOS RIOS,NO,VIA A LA ESCUELA,74045390,1,1,2,1,1,1,1,46,667563,9709702,-79.49275616,-2.62548506,NO,NO
1,AZUAY,260,CUENCA,2430,MOLLETURO,10,CAYMATAN,5006,ESCUELA DE EDUCACION BASICA 6 DE ENERO,NO,"VIA CUENCA MOLLETURO NARANJAL KM 130, ENTRADA A MANO DERECHA Y CALLE PRINCIPAL HACIA LA COMUNIDAD DE CAIMATAN",0,1,1,2,1,1,1,1,80,685784,9715299,-79.32896786,-2.57466056,NO,SI
1,AZUAY,260,CUENCA,2430,MOLLETURO,7,ESTERO PIEDRA,1964,UNIDAD EDUCATIVA ESTERO PIEDRA,NO,VIA PRINCIPAL A ESTERO PIEDRA CENTRO COMUNIDAD,74045011,1,1,2,1,1,1,1,357,676045,9715381,-79.41654299,-2.57403138,NO,NO
1,AZUAY,260,CUENCA,2430,MOLLETURO,9,FLOR Y SELVA,3477,UNIDAD EDUCATIVA JOSE ISAAC GALARZA CARPIO,NO,CENTRO COMUNIDAD,983831447,1,1,2,1,1,1,1,130,674294,9707101,-79.43219572,-2.64893291,NO,NO
1,AZUAY,260,CUENCA,2430,MOLLETURO,2,JESUS DEL GRAN PODER,2530,UNIDAD EDUCATIVA JESÚS DEL GRAN PODER,NO,CENTRO DE LA COMUNIDAD,74043825,1,1,2,1,1,1,1,346,676893,9720192,-79.40897104,-2.53051297,NO,NO
1,AZUAY,260,CUENCA,2430,MOLLETURO,1,MOLLETURO,464,UNIDAD EDUCATIVA MOLLETURO/ COLEGIO Y ESCUELA JUAN LEON MERA,SI,ROBERTO SAMANIEGO Y XAVIER MUÑOZ,74045599,6,5,11,1,6,1,5,3639,678187.5677,9694166.558,-79.39702778,-2.76586111,NO,NO
1,AZUAY,260,CUENCA,2430,MOLLETURO,4,SAN JOSE DE RECREO,2490,ESCUELA DE EDUCACION BASICA 19 DE MARZO,NO,VIA DEL CARMEN PIJILI,0,1,1,2,1,1,1,1,94,655978,9678532,-79.59661098,-2.90752002,NO,NO
1,AZUAY,260,CUENCA,2430,MOLLETURO,5,TAMARINDO,2085,ESCUELA DE EDUCACION BASICA 15 DE AGOSTO,SI,VIA CACAOLOMA Y CALLE SIN NOMBRE,0,1,1,2,1,1,1,1,257,670805,9710634,-79.46361135,-2.61702051,NO,NO
1,AZUAY,260,CUENCA,2430,MOLLETURO,3,ZHAGAL,2284,UNIDAD EDUCATIVA LUZ Y GUIA/ESCUELA 1 DE MAYO,NO,CALLE 14 DE SEPTIEMBRE Y MARISCAL SUCRE,74043635,1,1,2,1,1,1,1,598,652967,9684940,-79.62376624,-2.84959665,NO,NO
1,AZUAY,260,CUENCA,5290,MONAY,0,,592,UNIDAD EDUCATIVA DEL MILENIO MANUELA GARAICOA DE CALDERON AULAS COLEGIO,SI,AV 24 DE MAYO Y VIA AL VALLE,74096142,9,9,18,1,9,1,9,6300,723870.1965,9677924.557,-78.98596665,-2.91208331,NO,NO
1,AZUAY,260,CUENCA,5290,MONAY,0,,6307,UNIDAD EDUCATIVA DEL MILENIO GARAICOA- COLISEO,NO,VIA AL VALLE Y AV. 24 DE MAYO,4096147,4,4,8,10,13,10,13,2800,723791.9804,9677892.121,-78.9866695,-2.91237784,NO,NO
1,AZUAY,260,CUENCA,5290,MONAY,0,,4486,UNIDAD EDUCATIVA MANUELA GARAICOA DE CALDERON-EDIFICIO ADMINISTRATIVO ESCUELA,NO,VIA AL VALLE Y AV 24 DE MAYO,74096151,4,4,8,14,17,14,17,2800,723870.1965,9677924.557,-78.98596665,-2.91208331,NO,NO
1,AZUAY,260,CUENCA,5290,MONAY,0,,5991,UNIDAD EDUCATIVA PARTICULAR COREL,SI,AV. GONZALES SUAREZ Y MANUEL PAREDES,4058999,5,2,7,18,22,18,19,2098,725647.8854,9679948.848,-78.97001319,-2.89375213,NO,NO
